Assessment,Type,Country,Region,Date,Status,Availability,"PEFA check",Framework,Language,"Lead Agencies","Link to Content"
"Ethiopia Amhara Region 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2621
"Ethiopia Amhara Region 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1311
"Ethiopia Benishangul Gumuz Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2671
"Ethiopia Benishangul Gumuz Region 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2616
"Ethiopia Dire Dawa Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2666
"Ethiopia Gambella Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2661
"Ethiopia Harari Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2656
"Ethiopia Harari Region 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2611
"Ethiopia Oromia Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2651
"Ethiopia Oromia Region 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1741
"Ethiopia Oromia Region 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",,WB,https://www.pefa.org/node/1126
"Ethiopia Oromia Region 2019",Subnational,Ethiopia,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/3971
"Ethiopia SNNP Region 2020",Subnational,Ethiopia,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/4151
"Ethiopia Somali Region 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1306
"Ethiopia Somali Region 2020",Subnational,Ethiopia,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/3701
"Ethiopia Southern Nations & Nationalities Peoples’ Region 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2606
"Ethiopia Southern Nations & Nationalities Peoples’ Region 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1301
"Ethiopia Tigray Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2646
"Ethiopia Tigray Region 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1296
"Ethiopia Tigray Region 2019",Subnational,Ethiopia,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/3916
"Fiji 2005",National,Fiji,"East Asia & Pacific",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2356
"Fiji 2013",National,Fiji,"East Asia & Pacific",2013,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/1431
"Fiji 2020",National,Fiji,"East Asia & Pacific",2020,Final,Public,Yes,"2016 Framework",English,"IMF, Government",https://www.pefa.org/node/3876
"Fiji GRPFM 2020",National,Fiji,"East Asia & Pacific",2020,Final,Non-public,Yes,"Gender Framework",English,ADB,https://www.pefa.org/node/4391
"French Polynesia 2008",National,"French Polynesia","East Asia & Pacific",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2256
"French Polynesia 2015",National,"French Polynesia","East Asia & Pacific",2015,Final,Public,Yes,"2011 Framework",,Government,https://www.pefa.org/node/926
"French Polynesia 2022",National,"French Polynesia","East Asia & Pacific",2022,Draft,Non-public,,"2016 Framework",French,"Government, EU",https://www.pefa.org/node/5053
"Gabon 2006",National,Gabon,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3056
"Gabon 2014",National,Gabon,"Sub-Saharan Africa",2014,Final,Public,Yes,"2011 Framework",,IMF,https://www.pefa.org/node/1221
"Gabon 2017",National,Gabon,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",French,"EU, IMF",https://www.pefa.org/node/696
"Gambia 2021",National,"The Gambia","Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",English,Government,https://www.pefa.org/node/5067
"Georgia - Tbilisi, Martvili, Batumi 2022",Subnational,Georgia,"Europe & Central Asia",,Planned,Non-public,,"2021 SNG Framework",English,"Government, EU",https://www.pefa.org/node/5178
"Georgia 2008",National,Georgia,"Europe & Central Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2926
"Georgia 2013",National,Georgia,"Europe & Central Asia",2013,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1341
"Georgia 2018",National,Georgia,"Europe & Central Asia",2018,Final,Public,Yes,"2016 Framework",English,"EU, WB",https://www.pefa.org/node/276
"Georgia Batumi 2018",Subnational,Georgia,"Europe & Central Asia",2018,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/221
"Georgia GRPFM 2022 /Gender Annex/",National,Georgia,"Europe & Central Asia",,Planned,Non-public,,"Gender Framework",,"Government, WB",https://www.pefa.org/node/5164
"Georgia Martvili 2018",Subnational,Georgia,"Europe & Central Asia",2018,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/251
"Georgia Tbilisi 2010",Subnational,Georgia,"Europe & Central Asia",2010,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2071
"Georgia Tbilisi 2014",Subnational,Georgia,"Europe & Central Asia",2014,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1146
"Georgia Tbilisi 2018",Subnational,Georgia,"Europe & Central Asia",2018,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/216
"Germany Bad Laer Municipality 2018",Subnational,Germany,"Europe & Central Asia",2018,Final,Public,No,"2016 Framework",German,Government,https://www.pefa.org/node/3941
"Germany Osnabrueck City 2018",Subnational,Germany,"Europe & Central Asia",2018,Final,Public,No,"2016 Framework",German,Government,https://www.pefa.org/node/3936
"Germany Osnabrueck District 2018",Subnational,Germany,"Europe & Central Asia",2018,Final,Public,No,"2016 Framework",German,Government,https://www.pefa.org/node/3926
"Germany Westerkappeln  Municipality 2019",Subnational,Germany,"Europe & Central Asia",2019,Final,Public,No,"2016 Framework",German,Government,https://www.pefa.org/node/3931
"Ghana 2005",National,Ghana,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/1851
"Ghana 2006",National,Ghana,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3051
"Ghana 2010",National,Ghana,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2716
"Ghana 2013",National,Ghana,"Sub-Saharan Africa",2013,Final,Public,Yes,"2011 Framework",,SECO,https://www.pefa.org/node/1561
"Ghana 2018",National,Ghana,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/351
"Ghana Kassena Nankana Municipal Assembly 2012",Subnational,Ghana,"Sub-Saharan Africa",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1081
"Ghana Kumasi Metropolitan Assembly 2012",Subnational,Ghana,"Sub-Saharan Africa",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1076
"Ghana MMDA 1_Komenda-Edina-Eguafo-Abrem District 2010",Subnational,Ghana,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2436
"Ghana MMDA2_Kumasi 2010",Subnational,Ghana,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2431
"Ghana MMDA3_Lower Manya Krobo 2010",Subnational,Ghana,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2426
"Ghana MMDA4_Saboba 2010",Subnational,Ghana,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2421
"Ghana MMDA5_Tarkwa-Nsuaem 2010",Subnational,Ghana,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2416
"Ghana Prestia-Huni Valley District Assembly 2012",Subnational,Ghana,"Sub-Saharan Africa",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1071
"Ghana SNGs 2017",Subnational,Ghana,"Sub-Saharan Africa",,Planned,Non-public,None,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/271
"Greenland 2014",National,Greenland,"Europe & Central Asia",2014,Final,Public,No,"2011 Framework",,EU,https://www.pefa.org/node/1141
"Greenland 2021/AGILE REPORT/",National,Greenland,"Europe & Central Asia",2021,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/5035
"Grenada 2006",National,Grenada,"Latin America & Caribbean",2006,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2291
"Grenada 2010",National,Grenada,"Latin America & Caribbean",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2861
"Grenada 2015",National,Grenada,"Latin America & Caribbean",2015,Final,Non-public,Yes,"Testing Framework",,IMF,https://www.pefa.org/node/231
"Guatemala 2010",National,Guatemala,"Latin America & Caribbean",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2501
"Guatemala 2013",National,Guatemala,"Latin America & Caribbean",2013,Final,Public,Yes,"2011 Framework",,Government,https://www.pefa.org/node/1676
"Guatemala 2018",National,Guatemala,"Latin America & Caribbean",2018,Final,Public,Yes,"2016 Framework",Spanish,"EU, Government",https://www.pefa.org/node/616
"Guinea 2007",National,Guinea,"Sub-Saharan Africa",2007,Final,Non-public,"N/A (pre-2012)","2011 Framework",,AfD,https://www.pefa.org/node/2441
"Guinea 2013",National,Guinea,"Sub-Saharan Africa",2013,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/1426
"Guinea 2018",National,Guinea,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",French,IMF,https://www.pefa.org/node/306
"Guinea-Bissau 2006",National,Guinea-Bissau,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3046
"Guinea-Bissau 2009",National,Guinea-Bissau,"Sub-Saharan Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2711
"Guinea-Bissau 2014",National,Guinea-Bissau,"Sub-Saharan Africa",2014,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1216
"Guyana 2007",National,Guyana,"Latin America & Caribbean",2007,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,IADB,https://www.pefa.org/node/1951
"Guyana 2019",National,Guyana,"Latin America & Caribbean",2019,Final,Non-public,Yes,"2016 Framework",English,"EU, Government",https://www.pefa.org/node/191
"Haiti 2008",National,Haiti,"Latin America & Caribbean",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2881
"Haiti 2012",National,Haiti,"Latin America & Caribbean",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1811
"Haiti GRPFM 2019",National,Haiti,"Latin America & Caribbean",2019,Draft,Non-public,,"Gender Framework",English,WB,https://www.pefa.org/node/4396
"Honduras 2006",National,Honduras,"Latin America & Caribbean",2006,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2031
"Honduras 2009",National,Honduras,"Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2496
"Honduras 2011",National,Honduras,"Latin America & Caribbean",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,MCC,https://www.pefa.org/node/1751
"Honduras 2013",National,Honduras,"Latin America & Caribbean",2013,Final,Public,No,"2011 Framework",,MCC,https://www.pefa.org/node/1621
"Honduras 2017",National,Honduras,"Latin America & Caribbean",2017,Final,Non-public,Yes,"2016 Framework",Spanish,Government,https://www.pefa.org/node/536
"Honduras Tegucigalpa Municipality 2013",Subnational,Honduras,"Latin America & Caribbean",2013,Final,Public,No,"2011 Framework",English,WB,https://www.pefa.org/node/1556
"India 2010",National,India,"South Asia",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2826
"India Himachal Pradesh State 2009",Subnational,India,"South Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",English,WB,https://www.pefa.org/node/2806
"India Himachal Pradesh State 2019 /AGILE REPORT/",Subnational,India,"South Asia",2019,Planned,Non-public,,"2016 Framework",English,"WB, Government",https://www.pefa.org/node/4121
"India Maharashtra State 2008",Subnational,India,"South Asia",2008,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1916
"Indonesia 2007",National,Indonesia,"East Asia & Pacific",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2961
"Indonesia 2012",National,Indonesia,"East Asia & Pacific",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/2086
"Indonesia 2018",National,Indonesia,"East Asia & Pacific",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/546
"Indonesia GRPFM 2020",National,Indonesia,"East Asia & Pacific",2020,Final,Public,Yes,"Gender Framework",English,WB,https://www.pefa.org/node/4416
"Indonesia Lemongan District 2020",Subnational,Indonesia,"East Asia & Pacific",2020,Draft,Non-public,,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/4351
"Iraq 2008",National,Iraq,"Middle East & North Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2266
"Iraq 2017",National,Iraq,"Middle East & North Africa",2017,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/466
"Iraq Kurdistan Region 2007",Subnational,Iraq,"Middle East & North Africa",2007,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1931
"Jamaica 2007",National,Jamaica,"Latin America & Caribbean",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2876
"Jamaica 2013",National,Jamaica,"Latin America & Caribbean",2013,Final,Non-public,No,"2011 Framework",,EU,https://www.pefa.org/node/1551
"Jamaica 2017",National,Jamaica,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/571
"Jordan 2007",National,Jordan,"Middle East & North Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2851
"Jordan 2011",National,Jordan,"Middle East & North Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1926
"Jordan 2017",National,Jordan,"Middle East & North Africa",2017,Final,Public,Yes,"2016 Framework",English,EU,https://www.pefa.org/node/581
"Jordan 2022",National,Jordan,"Middle East & North Africa",2022,Final,Public,Yes,"2016 Framework",English,"EU, Government",https://www.pefa.org/node/4518
"Jordan Greater Amman Municipality 2017",Subnational,Jordan,"Middle East & North Africa",2017,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/556
"Kazakhstan 2009",National,Kazakhstan,"Europe & Central Asia",2009,Final,Non-public,No,"2011 Framework",,WB,https://www.pefa.org/node/2316
"Kazakhstan 2018",National,Kazakhstan,"Europe & Central Asia",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/266
"Kenya 2006",National,Kenya,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/3041
"Kenya 2009",National,Kenya,"Sub-Saharan Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3036
"Kenya 2012",National,Kenya,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1711
"Kenya 2019",National,Kenya,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/586
"Kenya 2022",National,Kenya,"Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",English,"Government, EU",https://www.pefa.org/node/5187
"Kenya Baringo County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/341
"Kenya GRPFM 2022 /Gender Annex/",National,Kenya,"Sub-Saharan Africa",,Planned,Non-public,None,"Gender Framework",,"EU, Government",https://www.pefa.org/node/5129
"Kenya Kajiado County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/336
"Kenya Kakamega County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/331
"Kenya Makueni County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/326
"Kenya Nakuru County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/321
"Kenya West Pokot County 2018",Subnational,Kenya,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/316
"Kiribati 2009",National,Kiribati,"East Asia & Pacific",2009,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,ADB,https://www.pefa.org/node/2081
"Kosovo 2007",National,Kosovo,"Europe & Central Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3111
"Kosovo 2009",National,Kosovo,"Europe & Central Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/3106
"Kosovo 2013",National,Kosovo,"Europe & Central Asia",2013,Final,Public,No,"2011 Framework",,Government,https://www.pefa.org/node/1211
"Kosovo 2016",National,Kosovo,"Europe & Central Asia",2016,Final,Public,Yes,"2011 Framework",English,EU,https://www.pefa.org/node/1046
"Kosovo 2022",National,Kosovo,"Europe & Central Asia",2022,Final,Public,Yes,"2016 Framework",English,EU,https://www.pefa.org/node/5026
"Kosovo Ferizaj Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1806
"Kosovo Fushe Municipality 2013",Subnational,Kosovo,"Europe & Central Asia",2013,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1206
"Kosovo Gjakova Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1801
"Kosovo Gjilan Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1796
"Kosovo GRPFM 2022 /Gender Annex/",National,Kosovo,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,EU,https://www.pefa.org/node/5072
"Kosovo Istog Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1791
"Kosovo Mamusha Municipality 2011",Subnational,Kosovo,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1901
"Kosovo Novoberdo Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1786
"Kosovo Peja Municipality 2012",Subnational,Kosovo,"Europe & Central Asia",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,USAID,https://www.pefa.org/node/1781
"Kosovo Podujevo Municipality 2011",Subnational,Kosovo,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1871
"Kosovo Pristina Municipality 2011",Subnational,Kosovo,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1866
"Kosovo Shterpce Municipality 2011",Subnational,Kosovo,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1861
"Kosovo Vushtri Municipality 2011",Subnational,Kosovo,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1856
"Kuwait 2010",National,Kuwait,"Middle East & North Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2141
"Kyrgyz Republic 2006",National,"Kyrgyz Republic","Europe & Central Asia",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/2921
"Kyrgyz Republic 2009",National,"Kyrgyz Republic","Europe & Central Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,SECO,https://www.pefa.org/node/2536
"Kyrgyz Republic 2015",National,"Kyrgyz Republic","Europe & Central Asia",2015,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1016
"Kyrgyz Republic 2021",National,"Kyrgyz Republic","Europe & Central Asia",2021,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/181
"Kyrgyz Republic Jalal Abad City 2021",Subnational,"Kyrgyz Republic","Europe & Central Asia",2021,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5028
"Kyrgyz Republic Krupskaya SNG 2021",Subnational,"Kyrgyz Republic","Europe & Central Asia",2021,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5029
"Kyrgyz Republic Saz SNG 2021",Subnational,"Kyrgyz Republic","Europe & Central Asia",2021,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5027
"Lao PDR 2006",National,"Lao PDR","East Asia & Pacific",2006,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2351
"Lao PDR 2010",National,"Lao PDR","East Asia & Pacific",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1161
"Lao PDR 2019",National,"Lao PDR","East Asia & Pacific",2019,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/286
"Lebanon 2011",National,Lebanon,"Middle East & North Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2136
"Lesotho 2007",National,Lesotho,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3031
"Lesotho 2009",National,Lesotho,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/3086
"Lesotho 2012",National,Lesotho,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1691
"Lesotho 2017",National,Lesotho,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",English,EU,https://www.pefa.org/node/626
"Liberia 2009",National,Liberia,"Sub-Saharan Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",English,WB,https://www.pefa.org/node/2706
"Liberia 2012",National,Liberia,"Sub-Saharan Africa",2012,Final,Public,None,"2011 Framework",,IMF,https://www.pefa.org/node/1686
"Liberia 2014",National,Liberia,"Sub-Saharan Africa",2014,Draft,Non-public,None,"2011 Framework",,Government,https://www.pefa.org/node/776
"Liberia 2016",National,Liberia,"Sub-Saharan Africa",2016,Final,Public,Yes,"2011 Framework",English,Government,https://www.pefa.org/node/771
"Liberia 2021",National,Liberia,"Sub-Saharan Africa",2021,Final,Public,Yes,"2016 Framework",English,"WB, Government",https://www.pefa.org/node/4101
"Macedonia 2007",National,Macedonia,"Europe & Central Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2916
"Macedonia 2015",National,Macedonia,"Europe & Central Asia",2015,Final,Public,No,"2011 Framework",English,EU,https://www.pefa.org/node/921
"Madagascar 2006",National,Madagascar,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3026
"Madagascar 2008",National,Madagascar,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1336
"Madagascar 2014",National,Madagascar,"Sub-Saharan Africa",2014,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1201
"Madagascar 2018",National,Madagascar,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/701
"Madagascar 2021/AGILE REPORT/",National,Madagascar,"Sub-Saharan Africa",2021,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/5086
"Madagascar Commune Urbaine de Mahajanga 2014",Subnational,Madagascar,"Sub-Saharan Africa",2014,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/961
"Madagascar Municipal Antananarivo 2014",Subnational,Madagascar,"Sub-Saharan Africa",2014,Final,Public,"N/A (pre-2012)","2011 Framework",French,Government,https://www.pefa.org/node/1101
"Malawi 2005",National,Malawi,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2446
"Malawi 2006",National,Malawi,"Sub-Saharan Africa",2006,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2411
"Malawi 2008",National,Malawi,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2406
"Malawi 2011",National,Malawi,"Sub-Saharan Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2216
"Malawi 2018",National,Malawi,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WBG",https://www.pefa.org/node/246
"Maldives 2009",National,Maldives,"South Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/2481
"Maldives 2014",National,Maldives,"South Asia",2014,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/1196
